Query,Answer
Can the government evict me from land without compensation?,"possession of charged land may not again enter into possession of that land, otherwise than by complying with the provisions of section 94 if the chargor is in a fresh default under the charge. [Act No. 28 of 2016, s. This is provided under the Land Act, Section 95 – Withdrawal of lender from possession. s. 71.] This is provided under the Land Act, Section 94 – Power of the chargee to take possession of the charged land."
Can a landlord sell a tenant’s property if rent is unpaid?,"of valuation, when required by the tenant or owner, shall be paid by him. This is provided under the Distress for Rent Act, Section 4 – Distrained goods may be sold under certain circumstances."
Can my employer terminate me without notice if I break company policy?,"(1) The provisions of section 41 shall not apply where a termination of employment terminates a probationary contract. This is provided under the Employment Act, Section 42 – Termination of probationary contracts."
Can a stepchild inherit from a deceased parent’s estate?,"Where an intestate has left a surviving child or children but no spouse, the net intestate estate shall, subject to the provisions of sections 41 and 42, devolve upon the surviving child, if there be only one, or shall be equally divided among the surviving children. This is provided under the Law of Succession Act, Section 38 – Where intestate has left a surviving child or children but no spouse."
How much notice is required before eviction from leased land?,"local language, where appropriate, at least three months before the eviction. This is provided under the Land Act, Section 152 – Rights of entry."
Can the government seize property without compensation?,"the beneficial interest of the trust is held by persons who are citizens. This is provided under the Constitution of Kenya, Section 65 – Landholding by non-citizens."
Are gifts or inheritances subject to income tax in Kenya?,"RECEIVED IN KENYA WHICH IS EXEMPT FROM TAX. This is provided under the Income Tax Act, Section Preamble – Preamble."
Is a tenant responsible for damages caused by visitors?,"as they were when the term of the lease began, except that the lessee shall not be bound to repair damage or restore the land and buildings to the same conditions they were at the beginning of the lease if the damage or deterioration of the condition is caused by— (i) reasonable wear and tear; (ii) fire, flood or explosion or other accident not attributable to the negligence of the lessee, or the lessee’s invitees or employees; (iii) civil commotion; (iv) lightning, storm, earthquake, volcanic activity or other natural disaster; (d) to keep all boundary marks in repair; and (e) to keep all buildings comprised in the lease in a reasonable state of repair.. This is provided under the Land Act, Section 66 – Conditions implied on leases on part of the lessee."
Can a landlord increase rent without notice?,"if the lessor continues to accept rent from a tenant who remains in possession for two months, after the termination of the lease, a periodic lease from month to month shall be deemed to have come into force.. This is provided under the Land Act, Section 60 – Lessee remaining in possession after termination of lease without the consent of lessor."
Can an employer deduct money from my salary for lateness?,"an agency fee deducted from his wages in accordance with this section. This is provided under the Labour Relations Act, Section 49 – Deduction of agency fees from unionisable employees covered by collective agreements."
Are capital gains from selling property taxable in Kenya?,"(2) Where a bank which is a permanent establishment of a non-resident person holds outside Kenya any deposits, assets or property acquired from its operations in Kenya, the gains or profits. This is provided under the Income Tax Act, Section 18 – Ascertainment of gains or profits of business in relation to certain non-resident persons."
