question,act,retrieved_act,section,similarity,answer_text,doc_id
What property can be distrained for rent arrears?,Distress for Rent Act,Distress for Rent Act,5 – Rent in arrears may be distrained for after determination of lease,0.711802602,"Any person having rent in arrears and due upon a demise, lease or contract after the ending or determination of the demise, lease or contract, may distrain for the arrears after the ending or determination in the same manner as he might have done if the demise, lease or contract had not been ended or determined: Provided that distress under this section shall be made within the space of six months after the determination of the demise, lease or contract and during the continuance of the landlord’s title or interest, and during the possession of the tenant from whom the arrears became due.",b2712c120568436093b2dd0817ac69ffd7f5f4545bb7cfcda301693ab1c4696d
Who may carry out distress on behalf of a landlord?,Distress for Rent Act,Distress for Rent Act,20 – Penalty on superior landlord disregarding lodger’s declaration,0.717350811,"If a superior landlord, or a licensed auctioneer or other agent employed by him, after being served with the declaration and inventory referred to in section 19, and in the case of an under-tenant or lodger after an undertaking has been given, and the amount of rent (if any) then due has been paid or tendered in accordance with that undertaking, levies or proceeds with a distress on the furniture, goods or chattels of the under-tenant, lodger or other person, the superior landlord, licensed auctioneer or other agent shall be deemed guilty of an illegal distress, and the under-tenant, lodger or other person may apply to a subordinate court of the first or second class for an order for the restoration to him of those goods, and the court shall inquire into the truth of the declaration and inventory, and shall make such order for the recovery of the goods or otherwise as to it may seem just...",71f82fbd385108e20b32d287ca0af23811809eb4b9ad3bd45bed56a64481ab1f
What is the procedure for sale of distrained goods?,Distress for Rent Act,Distress for Rent Act,4 – Distrained goods may be sold under certain circumstances,0.745417416,"(1) Where any goods or chattels are distrained for rent reserved and due upon a grant, demise, lease or contract, and the tenant or owner of the goods or chattels so distrained does not, within fourteen days after distress has been made, and notice thereof (stating the cause of the making of the distress) left on the premises charged with the rent distrained for, pay the rent together with the costs of the distress, or replevy them, with sufficient security to be given to the licensed auctioneer according to law, the person distraining may lawfully sell on the premises or remove and sell the goods and chattels so distrained for the best price which can be obtained for them, towards satisfaction of the rent for which they are distrained, and of the charges of the distress, removal and sale, handing over the surplus (if any) to the owner. (2) If, before the expiration of the seven days aft...",f7af36fea113b25f0b7dbe51db7b116fcd2c7dafec6e0f1669bda2545b046741
Can distress be levied after termination of tenancy?,Distress for Rent Act,Distress for Rent Act,5 – Rent in arrears may be distrained for after determination of lease,0.733617067,"Any person having rent in arrears and due upon a demise, lease or contract after the ending or determination of the demise, lease or contract, may distrain for the arrears after the ending or determination in the same manner as he might have done if the demise, lease or contract had not been ended or determined: Provided that distress under this section shall be made within the space of six months after the determination of the demise, lease or contract and during the continuance of the landlord’s title or interest, and during the possession of the tenant from whom the arrears became due.",b2712c120568436093b2dd0817ac69ffd7f5f4545bb7cfcda301693ab1c4696d
What are the basic minimum terms of employment?,Employment Act,Employment Act,26 – Basic minimum conditions of employment,0.715198785,"(1) The provisions of this Part and Part VI shall constitute basic minimum terms and conditions of contract of service. (2) Where the terms and conditions of a contract of service are regulated by any regulations, as agreed in any collective agreement or contract between the parties or enacted by any other written law, decreed by any judgment award or order of the Employment and Labour Relations Court are more favourable to an employee than the terms provided in this Part and Part VI, then such favourable terms and conditions of service shall apply.",0d58457c1b0a0d15654fe7c6dd86109c006f725ee8758329ab2bc6c0c9db3a46
How is termination of employment regulated?,Employment Act,Employment Act,78 – Notification of termination of employment,0.679661304,An employer shall notify the termination of every employment and of each lay-off of a person in writing to the nearest employment service office within two weeks of the termination or lay-off.,aecbee6b3488710fd05c83e0e9eb8019a9aadd1eb6dcaa1675fd742e09b70111
What are the employee’s rights during maternity leave?,Employment Act,Employment Act,29 – Maternity leave,0.749465406,"(1) A female employee shall be entitled to three months maternity leave with full pay. (2) On expiry of a female employee's maternity leave as provided in subsections (1) and (3), the female employee shall have the right to return to the job which she held immediately prior to her maternity leave or to a reasonably suitable job on terms and conditions not less favourable than those which would have applied had she not been on maternity leave. (3) Where— (a) the maternity leave has been extended with the consent of employer; or (b) immediately on expiry of maternity leave before resuming her duties a female employee proceeds on sick leave or with the consent of the employer on annual leave; compassionate leave; or any other leave, the three months maternity leave under subsection (1) shall be deemed to expire on the last day of such extended leave. (4) A female employee shall only be enti...",cd53baa44c21064855b9227a2a3989c6dad6274e3bb007fda236ea74cdb88691
When is an employer required to issue a certificate of service?,Employment Act,Employment Act,51 – Certificate of service,0.770358622,"(1) An employer shall issue to an employee a certificate of service upon termination of his employment, unless the employment has continued for a period of less than four consecutive weeks. (2) A certificate of service issued under subsection (1) shall contain— (a) the name of the employer and his postal address; (b) the name of the employee; (c) the date when employment of the employee commenced; (d) the nature and usual place of employment of the employee; (e) the date when the employment of the employee ceased; and (f) such other particulars as may be prescribed. (3) Subject to subsection (1), no employer is bound to give to an employee a testimonial, reference or certificate relating to the character or performance of that employee. (4) An employer who wilfully or by neglect fails to give an employee a certificate of service in accordance with subsection (1), or who in a certificate ...",c8af2c7f602ea774ff67392049f1a9441ae1592700774acd00ae8c87bf4f0619
What remedies are available for unfair termination?,Employment Act,Employment Act,45 – Unfair termination,0.718147516,"(1) No employer shall terminate the employment of an employee unfairly. (2) A termination of employment by an employer is unfair if the employer fails to prove— (a) that the reason for the termination is valid; (b) that the reason for the termination is a fair reason— (i) related to the employees conduct, capacity or compatibility; or (ii) based on the operational requirements of the employer; and (c) that the employment was terminated in accordance with fair procedure. (3) An employee who has been continuously employed by his employer for a period not less than thirteen months immediately before the date of termination shall have the right to complain that he has been unfairly terminated. (4) A termination of employment shall be unfair for the purposes of this Part where— (a) the termination is for one of the reasons specified in section 46; or (b) it is found out that in all the circum...",3b02e8acb87babc276380af37f538f9e64b2a1125e3ac96c4f9fa4f8797357c2
What is admissible evidence in Kenyan courts?,Evidence Act,Evidence Act,"40 – Statements of fact contained in laws and official gazettes, etc.",0.75743489,"When the court has to form an opinion as to the existence of any fact of a public nature, any statement of it shall be admissible which is made— (a) in any written law of Kenya, or in any notice purporting to be made in pursuance of any such written law, where the law or notice (as the case may be) purports to be printed by the Government Printer; or (b) in any written law in force in any country in the Commonwealth, or in any notice purporting to be made in pursuance of any such written law, where the law or notice (as the case may be) purports to be printed or published by or under the authority of the Government of that country.",9d96c2dfb4056019187fa7fa605ff4b5fb17d64595da723fe4a27c03164bdccc
How is documentary evidence proved?,Evidence Act,Evidence Act,68 – Proof of documents by secondary evidence.,0.637017488,"(1) Secondary evidence may be given of the existence, condition or contents of a document in the following cases— (a) when the original is shown or appears to be in the possession or power of— (i) the person against whom the document is sought to be proved; or (ii) a person out of reach of, or not subject to, the process of the court; or (iii) any person legally bound to produce it, and when, after the notice required by section 69 of this Act has been given, such person refuses or fails to produce it; (b) when the existence, condition or contents of the original are proved to be admitted in writing by the person against whom it is proved, or by his representative in interest; (c) when the original has been destroyed or lost, or when the party offering evidence of its contents cannot, for any other reason not arising from his own default or neglect, produce it in a reasonable time; (d) w...",ad6b3bf8397e92172e3496b330f789f9710083a9158e8aeac47e508b9f448bcf
What is the rule on hearsay evidence?,Evidence Act,Evidence Act,35 – Admissibility of documentary evidence as to facts in issue.,0.675328851,"(1) In any civil proceedings where direct oral evidence of a fact would be admissible, any statement made by a person in a document and tending to establish that fact shall, on production of the original document, be admissible as evidence of that fact if the following conditions are satisfied, that is to say— (a) if the maker of the statement either— (i) had personal knowledge of the matters dealt with by the statement; or (ii) where the document in question is or forms part of a record purporting to be a continuous record, made the statement (in so far as the matters dealt with thereby are not within his personal knowledge) in the performance of a duty to record information supplied to him by a person who had, or might reasonably be supposed to have, personal knowledge of those matters; and (b) if the maker of the statement is called as a witness in the proceedings: Provided that the c...",2816a4241354238fea896ac831eaf92a23bed9f9e649257255673db9e5e62a8b
Who bears the burden of proof in civil cases?,Evidence Act,Evidence Act,112 – Proof of special knowledge in civil proceedings.,0.704703957,"In civil proceedings, when any fact is especially within the knowledge of any party to those proceedings, the burden of proving or disproving that fact is upon him.",bd489475a4d2b2aa5c258a211ea70dc4e5ca0f743adb9f5f1a873a5a87390c07
What is the role of expert witnesses?,Evidence Act,Evidence Act,167 – Refreshing memory by reference to contemporaneous writing.,0.649710715,"(1) A witness may, while under examination, refresh his memory by referring to any writing made by himself at the time of the transaction concerning which he is questioned, or made so soon afterwards that the court considers it likely that the transaction was at that time fresh in his memory. (2) A witness may, while under examination, refresh his memory by referring to any writing made by any other person and read by the witness within the time mentioned in subsection (1) of this section, if when he read it he knew it to be correct. (3) Whenever a witness may refresh his memory by reference to any writing, he may, with the permission of the court, refer to a copy of such writing, if the court is satisfied that there is sufficient reason for the non-production of the original. (4) An expert may refresh his memory by reference to professional treatises.",9b2e5773b757e33288128a53001d47c8f3218fcf2f6b096e406311ca2521b56c
What goods are subject to excise duty?,Excise Duty Act,Excise Duty Act,32 – Exempt excisable goods liable for excise duty on disposal or inconsistent use,0.783885658,"When a person imports or purchases excisable goods which are exempt from excise duty under the Second Schedule and the person subsequently disposes of, or uses, the goods in a manner inconsistent with the exemption, the person shall be liable to pay excise duty on the goods at the rate applicable to goods of that class or description at the time of disposal or inconsistent use: Provided that in the case of a motor vehicle, excise duty shall not be payable where in the case of a natural person, that person dies and the ownership of the motor vehicle is transferred by way of bequest to or inheritance by another person.",ffd8df684c0c3e74d87cbddfac1aa0ba445c53d9f1eb370d349f1e8fb77953c5
When is excise duty payable?,Excise Duty Act,Excise Duty Act,36 – Payment of excise duty,0.789457723,"(1) The excise duty payable by a licensed manufacturer in respect of excisable goods removed from a manufacturer's factory during a calendar month shall be paid not later than the twentieth day of the succeeding month. (1A) Despite subsection (1), in the case of a licensed manufacturer of alcoholic beverages, excise duty shall be payable to the Commissioner within by the fifth day of the following month upon removal of the goods from the stockroom. (2) The excise duty payable by a supplier of excisable services in respect of supplies of excisable services made by the supplier during a calendar month shall be paid not later than the twentieth day of the succeeding month. (3) The excise duty payable by an importer in respect of the importation of excisable goods into Kenya shall be paid to the Commissioner at the time of importation. (4) For the purpose of assessing, collecting, accounting...",b313320c7c29367ea05e353b0e4c83c31cba6fab55df7e030fa08acbed41d645
What are the penalties for failure to pay excise duty?,Excise Duty Act,Excise Duty Act,29 – Refunds,0.733392924,"(1) If excise duty has been paid by a person on excisable goods manufactured in, or imported into, Kenya, the Commissioner shall, on written application by the person, refund the excise duty paid if satisfied that— (a) before being consumed or used in Kenya— (i) the goods have been damaged or stolen during the voyage or transportation to Kenya; (ii) the goods have been damaged or destroyed while subject to excise control; (iii) the buyer has returned the goods to the seller in accordance with the contract of sale; or (b) the excise duty has been paid in respect of spirits or illuminating kerosene that have subsequently been used by a licensed or registered manufacturer to manufacture unexcisable goods. (2) A licensed person may apply to the Commissioner for a refund of excise duty if the person has accounted for and paid excise duty on excisable goods or excisable services but has not re...",ab1c58f458190a863d111bd9d168792b16d8c129a85a91660aa28a823c591972
Who is liable for payment of excise duty?,Excise Duty Act,Excise Duty Act,32 – Exempt excisable goods liable for excise duty on disposal or inconsistent use,0.751993492,"When a person imports or purchases excisable goods which are exempt from excise duty under the Second Schedule and the person subsequently disposes of, or uses, the goods in a manner inconsistent with the exemption, the person shall be liable to pay excise duty on the goods at the rate applicable to goods of that class or description at the time of disposal or inconsistent use: Provided that in the case of a motor vehicle, excise duty shall not be payable where in the case of a natural person, that person dies and the ownership of the motor vehicle is transferred by way of bequest to or inheritance by another person.",ffd8df684c0c3e74d87cbddfac1aa0ba445c53d9f1eb370d349f1e8fb77953c5
How are excise stamps used in Kenya?,Excise Duty Act,Excise Duty Act,29 – Refunds,0.742191434,"(1) If excise duty has been paid by a person on excisable goods manufactured in, or imported into, Kenya, the Commissioner shall, on written application by the person, refund the excise duty paid if satisfied that— (a) before being consumed or used in Kenya— (i) the goods have been damaged or stolen during the voyage or transportation to Kenya; (ii) the goods have been damaged or destroyed while subject to excise control; (iii) the buyer has returned the goods to the seller in accordance with the contract of sale; or (b) the excise duty has been paid in respect of spirits or illuminating kerosene that have subsequently been used by a licensed or registered manufacturer to manufacture unexcisable goods. (2) A licensed person may apply to the Commissioner for a refund of excise duty if the person has accounted for and paid excise duty on excisable goods or excisable services but has not re...",ab1c58f458190a863d111bd9d168792b16d8c129a85a91660aa28a823c591972
Who may bring an action under the Fatal Accidents Act?,Fatal Accidents Act,Fatal Accidents Act,1 – Short title,0.697083533,This Act may be cited as the Fatal Accidents Act.,6955ebd50e9b0dc16f6609938658476a46cac5b6bc5ee638546191f7b3b0617a
What damages can be claimed for fatal accidents?,Fatal Accidents Act,Fatal Accidents Act,3 – Action maintainable against person causing death through wrongful act,0.664097965,"Whenever the death of a person is caused by a wrongful act, neglect or default, and the act, neglect or default is such as would (if death had not ensued) have entitled the person injured to maintain an action and recover damages in respect thereof, the person who would have been liable if death had not ensued shall be liable to an action for damages notwithstanding the death of the person injured and although the death was caused under such circumstances as amount in law to felony.",112acff2185e3e310a6b70be5216b84acd8b2f1214b8fb3e0364e43d5b8f7773
What is the limitation period for claims under this Act?,Fatal Accidents Act,Fatal Accidents Act,4 – Action to be for benefit of family of deceased,0.643400669,"subject matter of complaint, and that every such action shall be commenced within three years after the death of the deceased person. (2) In assessing damages under the provisions of subsection (1), the court shall not take into account— (a) any sum paid or payable on the death of the deceased under any contract of assurance or insurance, whether made before or after the passing of this Act; (b) any widow's or orphan's pension or allowance payable, or any sum payable under any contributory pension or other scheme declared by the Minister, by notice published in the Gazette, to be a scheme for the purpose of this paragraph.",c9632f14d4906a7958de43dc82731bef268c651005b6aa66e29d58efdf6c64ac
Can dependants recover damages for loss of consortium?,Fatal Accidents Act,Fatal Accidents Act,6 – Funeral expenses may be awarded,0.588060468,"In an action brought by virtue of the provisions of this Act the court may award, in addition to any damages awarded under subsection (1) of section 4, damages in respect of the funeral expenses of the deceased person, if those expenses have been incurred by the parties for whom and for whose benefit the action is brought.",0b55de9451717c616fc7cd803a3b70e3c36cf134fd386ddb6a9918504c421454
How are damages distributed among dependants?,Fatal Accidents Act,Fatal Accidents Act,4 – Action to be for benefit of family of deceased,0.639974624,"(1) Every action brought by virtue of the provisions of this Act shall be for the benefit of the wife, husband, parent and child of the person whose death was so caused, and shall, subject to the provisions of section 7, be brought by and in the name of the executor or administrator of the deceased person. In every such action, the court may award such damages as it may think proportioned to the injury resulting from the death to the persons respectively for whom and for whose benefit the action is brought; and the amount so recovered, after deducting the costs not recovered from the defendant, shall be divided amongst those persons in such shares as the court by its judgment shall find and direct. Provided that not more than one action shall lie in respect of the same subject matter of complaint, and that every such action shall be commenced within three years after the death of the dec...",babfb658a7af3cbe3d062878838550d4c75d6fe8da7d3e921d056ab5dc2a073f
