question,act,retrieved_act,section,similarity,answer_text,doc_id
"What powers of entry, search, and seizure exist under the Children Act?",Children Act,Children Act,"28 – Right to assemble, demonstrate, petition and participate in public life",0.645767272,"(1) Every child has the right, peaceably and unarmed, to assemble, demonstrate or present petitions to public authorities, and to freely participate in matters affecting children through lawfully established forums, associations, and assemblies at the national and county levels. (2) The right of a child to assemble, demonstrate, and to present petitions, shall be subject to the rights of others. (3) In addition to the rights guaranteed under subsections (1) and (2), every child shall have the right to express their views in all matters affecting them, and have those views heard and given due weight in accordance with the child's age and maturity. (4) The right guaranteed under subsection (3) shall be exercised— (a) in accordance with the national values and principles of governance prescribed in Article 10 (2) of the Constitution. (b) voluntarily by a child and without any undue influenc...",23ad9888b67005051008dfb868d20511fd06f269e568874288b17b3671f8bfc9
What are the appeal or review mechanisms available under the Children Act?,Children Act,Children Act,228 – Preliminary inquiry,0.661100537,"a further and more detailed assessment of the child is required; (b) establish whether the matter can be diverted before plea; (c) where applicable, identify a suitable diversion option; (d) establish whether the case should be transferred to a Children's Court; (e) ensure that all available information relevant to the child, his or her circumstances, and the offence is considered in order to make a decision on diversion and placement of the child; (f) ensure that the views of all person’s present are considered before a decision is taken; (g) encourage the participation of the child and his or her parent, guardian or fit person in decisions concerning the child; and (h) determine the release or placement of the child pending— (i) conclusion of the preliminary inquiry; (ii) appearance of the child in a Court; or (iii) referral of the matter to the children's Court. (4) The Chief Justice ...",993257f638078f0f9b753d5c57e54054274cea01b6192bcea630b3ca7a151e3d
What is the purpose and scope of the Constitution of Kenya?,Constitution of Kenya,Constitution of Kenya,94 – Role of Parliament,0.761225805,"(1) The legislative authority of the Republic is derived from the people and, at the national level, is vested in and exercised by Parliament. (2) Parliament manifests the diversity of the nation, represents the will of the people, and exercises their sovereignty. (3) Parliament may consider and pass amendments to this Constitution, and alter county boundaries as provided for in this Constitution. (4) Parliament shall protect this Constitution and promote the democratic governance of the Republic. (5) No person or body, other than Parliament, has the power to make provision having the force of law in Kenya except under authority conferred by this Constitution or by legislation. (6) An Act of Parliament, or legislation of a county, that confers on any State organ, State officer or person the authority to make provision having the force of law in Kenya, as contemplated in clause (5), shall...",9ac3b4373d6e91890a2d2c50cdf4f4319d0b32f3830b033ce24011b0ce4d025f
Which authority is responsible for administering and enforcing the Constitution of Kenya?,Constitution of Kenya,Constitution of Kenya,94 – Role of Parliament,0.730077356,"(1) The legislative authority of the Republic is derived from the people and, at the national level, is vested in and exercised by Parliament. (2) Parliament manifests the diversity of the nation, represents the will of the people, and exercises their sovereignty. (3) Parliament may consider and pass amendments to this Constitution, and alter county boundaries as provided for in this Constitution. (4) Parliament shall protect this Constitution and promote the democratic governance of the Republic. (5) No person or body, other than Parliament, has the power to make provision having the force of law in Kenya except under authority conferred by this Constitution or by legislation. (6) An Act of Parliament, or legislation of a county, that confers on any State organ, State officer or person the authority to make provision having the force of law in Kenya, as contemplated in clause (5), shall...",9ac3b4373d6e91890a2d2c50cdf4f4319d0b32f3830b033ce24011b0ce4d025f
What definitions in the Constitution of Kenya are most critical for compliance?,Constitution of Kenya,Constitution of Kenya,2 – Supremacy of this Constitution,0.725609899,"(1) This Constitution is the supreme law of the Republic and binds all persons and all State organs at both levels of government. (2) No person may claim or exercise State authority except as authorised under this Constitution. (3) The validity or legality of this Constitution is not subject to challenge by or before any court or other State organ. (4) Any law, including customary law, that is inconsistent with this Constitution is void to the extent of the inconsistency, and any act or omission in contravention of this Constitution is invalid. (5) The general rules of international law shall form part of the law of Kenya. (6) Any treaty or convention ratified by Kenya shall form part of the law of Kenya under this Constitution.",e49676b815a605772f930cd44a827a8c5d1307cce09c2f55564ee46c2f410ee4
"What licences, permits, or approvals are required under the Constitution of Kenya?",Constitution of Kenya,Constitution of Kenya,12 – Entitlements of citizens,0.68623817,"(1) Every citizen is entitled to— (a) the rights, privileges and benefits of citizenship, subject to the limits provided or permitted by this Constitution; and (b) a Kenyan passport and any document of registration or identification issued by the State to citizens. (2) A passport or other document referred to in clause (1)(b) may be denied, suspended or confiscated only in accordance with an Act of Parliament that satisfies the criteria referred to in Article 24.",e0d2e569559860784fda50e248224281f914e1b7ae11cbf3c7ae8c2bd6842bb1
What is the procedure for applying for approvals under the Constitution of Kenya?,Constitution of Kenya,Constitution of Kenya,255 – Amendment of this Constitution,0.713010252,"(1) A proposed amendment to this Constitution shall be enacted in accordance with Article 256 or 257, and approved in accordance with clause (2) by a referendum, if the amendment relates to any of the following matters— (a) the supremacy of this Constitution; (b) the territory of Kenya; (c) the sovereignty of the people; (d) the national values and principles of governance referred to in Article 10(2)(a) to (d); (e) the Bill of Rights; (f) the term of office of the President; (g) the independence of the Judiciary and the commissions and independent offices to which Chapter Fifteen applies; (h) the functions of Parliament; (i) the objects, principles and structure of devolved government; or (j) the provisions of this Chapter. (2) A proposed amendment shall be approved by a referendum under clause (1) if— (a) at least twenty per cent of the registered voters in each of at least half of the...",8d6e186a61b69613c3fe994e495b628d37acdd9459dc30e2e9c4c00bfec786a2
What duties or obligations does the Constitution of Kenya impose on regulated persons or entities?,Constitution of Kenya,Constitution of Kenya,94 – Role of Parliament,0.718875915,"(1) The legislative authority of the Republic is derived from the people and, at the national level, is vested in and exercised by Parliament. (2) Parliament manifests the diversity of the nation, represents the will of the people, and exercises their sovereignty. (3) Parliament may consider and pass amendments to this Constitution, and alter county boundaries as provided for in this Constitution. (4) Parliament shall protect this Constitution and promote the democratic governance of the Republic. (5) No person or body, other than Parliament, has the power to make provision having the force of law in Kenya except under authority conferred by this Constitution or by legislation. (6) An Act of Parliament, or legislation of a county, that confers on any State organ, State officer or person the authority to make provision having the force of law in Kenya, as contemplated in clause (5), shall...",9ac3b4373d6e91890a2d2c50cdf4f4319d0b32f3830b033ce24011b0ce4d025f
What records must be kept to comply with the Constitution of Kenya?,Constitution of Kenya,Constitution of Kenya,2 – Supremacy of this Constitution,0.732169062,"(1) This Constitution is the supreme law of the Republic and binds all persons and all State organs at both levels of government. (2) No person may claim or exercise State authority except as authorised under this Constitution. (3) The validity or legality of this Constitution is not subject to challenge by or before any court or other State organ. (4) Any law, including customary law, that is inconsistent with this Constitution is void to the extent of the inconsistency, and any act or omission in contravention of this Constitution is invalid. (5) The general rules of international law shall form part of the law of Kenya. (6) Any treaty or convention ratified by Kenya shall form part of the law of Kenya under this Constitution.",e49676b815a605772f930cd44a827a8c5d1307cce09c2f55564ee46c2f410ee4
"What fees, charges, or levies may be imposed under the Constitution of Kenya?",Constitution of Kenya,Constitution of Kenya,231 – Central Bank of Kenya,0.692856371,"(1) There is established the Central Bank of Kenya. (2) The Central Bank of Kenya shall be responsible for formulating monetary policy, promoting price stability, issuing currency and performing other functions conferred on it by an Act of Parliament. (3) The Central Bank of Kenya shall not be under the direction or control of any person or authority in the exercise of its powers or in the performance of its functions. (4) Notes and coins issued by the Central Bank of Kenya may bear images that depict or symbolise Kenya or an aspect of Kenya but shall not bear the portrait of any individual. (5) An Act of Parliament shall provide for the composition, powers, functions and operations of the Central Bank of Kenya. Chapter Thirteen THE PUBLIC SERVICE Part 1 – Values and principles of public service",48e4c950d1f6926ff4737ee56edccc5b333b0b6538dbde08ac2d163c9cd51d77
What are the offences and penalties provided for under the Constitution of Kenya?,Constitution of Kenya,Constitution of Kenya,143 – Protection from legal proceedings,0.714171112,"(1) Criminal proceedings shall not be instituted or continued in any court against the President or a person performing the functions of that office, during their tenure of office. (2) Civil proceedings shall not be instituted in any court against the President or the person performing the functions of that office during their tenure of office in respect of anything done or not done in the exercise of their powers under this Constitution. (3) Where provision is made in law limiting the time within which proceedings under clause (1) or (2) may be brought against a person, a period of time during which the person holds or performs the functions of the office of the President shall not be taken into account in calculating the period of time prescribed by that law. (4) The immunity of the President under this Article shall not extend to a crime for which the President may be prosecuted under...",5a25d7affe8c959f9abdc6a9471c29404118e4e2ca45b4b05344fc5829c87f1a
How are inspections and enforcement actions carried out under the Constitution of Kenya?,Constitution of Kenya,Constitution of Kenya,5 – Commission for the Implementation of the Constitution,0.698459655,"monitor, facilitate and oversee the development of legislation and administrative procedures required to implement this Constitution; (b) co-ordinate with the Attorney-General and the Kenya Law Reform Commission in preparing, for tabling in Parliament, the legislation required to implement this Constitution; (c) report regularly to the Constitutional Implementation Oversight Committee on— (i) progress in the implementation of this Constitution; and (ii) any impediments to its implementation; and (d) work with each constitutional commission to ensure that the letter and spirit of this Constitution is respected. (7) The Commission for the Implementation of the Constitution shall stand dissolved five years after it is established or at the full implementation of this Constitution as determined by Parliament, whichever is sooner, but the National Assembly may, by resolution, extend its life....",5fb3e4f52000dfb3ed8c34b256fc6751bf4cafe38d54b861254f7c66e542b79a
"What powers of entry, search, and seizure exist under the Constitution of Kenya?",Constitution of Kenya,Constitution of Kenya,39 – Freedom of movement and residence,0.706479192,"(1) Every person has the right to freedom of movement. (2) Every person has the right to leave Kenya. (3) Every citizen has the right to enter, remain in and reside anywhere in Kenya.",3b4d8aab97ebd33ea7d6d7772d24b7ab6796eac2d97891203fc961aa06c772cd
What are the appeal or review mechanisms available under the Constitution of Kenya?,Constitution of Kenya,Constitution of Kenya,59 – Kenya National Human Rights and Equality Commission,0.691719234,"(1) There is established the Kenya National Human Rights and Equality Commission. (2) The functions of the Commission are— (a) to promote respect for human rights and develop a culture of human rights in the Republic; (b) to promote gender equality and equity generally and to coordinate and facilitate gender mainstreaming in national development; (c) to promote the protection, and observance of human rights in public and private institutions; (d) to monitor, investigate and report on the observance of human rights in all spheres of life in the Republic, including observance by the national security organs; (e) to receive and investigate complaints about alleged abuses of human rights and take steps to secure appropriate redress where human rights have been violated; (f) on its own initiative or on the basis of complaints, to investigate or research a matter in respect of human rights, an...",dd855c09e3699096161dc3521408a7210563327e2251482f736f8a17dd16afff
What is the purpose and scope of the Criminal Procedure Code?,Criminal Procedure Code,Criminal Procedure Code,Preamble – Preamble,0.770152107,﻿CRIMINAL PROCEDURE CODE An Act of Parliament to make provision for the procedure to be followed in criminal cases,18c4796dae22b99f1eb1d36448a9eda7eaed4206a3bd7a52e553635c87238da4
Which authority is responsible for administering and enforcing the Criminal Procedure Code?,Criminal Procedure Code,Criminal Procedure Code,Preamble – Preamble,0.684050947,﻿CRIMINAL PROCEDURE CODE An Act of Parliament to make provision for the procedure to be followed in criminal cases,18c4796dae22b99f1eb1d36448a9eda7eaed4206a3bd7a52e553635c87238da4
What definitions in the Criminal Procedure Code are most critical for compliance?,Criminal Procedure Code,Criminal Procedure Code,Preamble – Preamble,0.720284045,﻿CRIMINAL PROCEDURE CODE An Act of Parliament to make provision for the procedure to be followed in criminal cases,18c4796dae22b99f1eb1d36448a9eda7eaed4206a3bd7a52e553635c87238da4
"What licences, permits, or approvals are required under the Criminal Procedure Code?",Criminal Procedure Code,Criminal Procedure Code,Preamble – Preamble,0.645925432,﻿CRIMINAL PROCEDURE CODE An Act of Parliament to make provision for the procedure to be followed in criminal cases,18c4796dae22b99f1eb1d36448a9eda7eaed4206a3bd7a52e553635c87238da4
What is the procedure for applying for approvals under the Criminal Procedure Code?,Criminal Procedure Code,Criminal Procedure Code,Preamble – Preamble,0.688225001,﻿CRIMINAL PROCEDURE CODE An Act of Parliament to make provision for the procedure to be followed in criminal cases,18c4796dae22b99f1eb1d36448a9eda7eaed4206a3bd7a52e553635c87238da4
What duties or obligations does the Criminal Procedure Code impose on regulated persons or entities?,Criminal Procedure Code,Criminal Procedure Code,Preamble – Preamble,0.690453172,﻿CRIMINAL PROCEDURE CODE An Act of Parliament to make provision for the procedure to be followed in criminal cases,18c4796dae22b99f1eb1d36448a9eda7eaed4206a3bd7a52e553635c87238da4
What records must be kept to comply with the Criminal Procedure Code?,Criminal Procedure Code,Criminal Procedure Code,Preamble – Preamble,0.678222835,﻿CRIMINAL PROCEDURE CODE An Act of Parliament to make provision for the procedure to be followed in criminal cases,18c4796dae22b99f1eb1d36448a9eda7eaed4206a3bd7a52e553635c87238da4
"What fees, charges, or levies may be imposed under the Criminal Procedure Code?",Criminal Procedure Code,Criminal Procedure Code,137 – Rules for the framing of charges and informations,0.676011115,"The following provisions shall apply to all charges and informations, and, notwithstanding any rule of law or practice, a charge or information shall, subject to this Code, not be open to objection in respect of its form or contents if it is framed in accordance with this Code— (a) (i) Mode in which offences are to be charged.—a count of a charge or information shall commence with a statement of the offence charged, called the statement of offence; (ii) the statement of offence shall describe the offence shortly in ordinary language, avoiding as far as possible the use of technical terms, and without necessarily stating all the essential elements of the offence, and if the offence charged is one created by enactment shall contain a reference to the section of the enactment creating the offence; (iii) after the statement of the offence, particulars of the offence shall be set out in ordin...",66a6bf5e27ecd70f2c7d5b55b937268d5a8c221e6631ffe44ff9352f4f82179c
What are the offences and penalties provided for under the Criminal Procedure Code?,Criminal Procedure Code,Criminal Procedure Code,137 – Rules for the framing of charges and informations,0.725516886,"The following provisions shall apply to all charges and informations, and, notwithstanding any rule of law or practice, a charge or information shall, subject to this Code, not be open to objection in respect of its form or contents if it is framed in accordance with this Code— (a) (i) Mode in which offences are to be charged.—a count of a charge or information shall commence with a statement of the offence charged, called the statement of offence; (ii) the statement of offence shall describe the offence shortly in ordinary language, avoiding as far as possible the use of technical terms, and without necessarily stating all the essential elements of the offence, and if the offence charged is one created by enactment shall contain a reference to the section of the enactment creating the offence; (iii) after the statement of the offence, particulars of the offence shall be set out in ordin...",66a6bf5e27ecd70f2c7d5b55b937268d5a8c221e6631ffe44ff9352f4f82179c
How are inspections and enforcement actions carried out under the Criminal Procedure Code?,Criminal Procedure Code,Criminal Procedure Code,Preamble – Preamble,0.675395608,﻿CRIMINAL PROCEDURE CODE An Act of Parliament to make provision for the procedure to be followed in criminal cases,18c4796dae22b99f1eb1d36448a9eda7eaed4206a3bd7a52e553635c87238da4
"What powers of entry, search, and seizure exist under the Criminal Procedure Code?",Criminal Procedure Code,Criminal Procedure Code,"26 – Power to detain and search aircraft, vessels, vehicles and persons",0.64855054,"(1) A police officer, or other person authorized in writing in that behalf by Inspector-General of the National Police Service, may stop, search and detain— (a) any aircraft, vessel or vehicle in or upon which there is reason to suspect that anything stolen or unlawfully obtained may be found; or (b) any aircraft, vessel or vehicle which there is reason to suspect has been used or employed in the commission or to facilitate the commission of an offence under the provisions of Chapters XXVI, XXVIII and XXIX of the Penal Code (Cap. 63); or (c) any person who may be reasonably suspected of having in his possession or conveying in any manner anything stolen or unlawfully obtained. (2) No person shall be entitled to damages or compensation for loss or damage suffered by him in respect of the detention under this section of an aircraft, vessel or vehicle. (3) For the purposes of this section, ...",3a310ca778a17882a9c52e63223e4dd2d0b37d0772cf09069bc3d1ffa120f9d8
What are the appeal or review mechanisms available under the Criminal Procedure Code?,Criminal Procedure Code,Criminal Procedure Code,379 – Appeals from High Court to Court of Appeal,0.66794458,"the Penal Code (Cap. 63), the Prevention of Terrorism Act, the Narcotic Drugs and Psychotropic Substances (Control) Act (Cap. 245), the Prevention of Organized Crimes Act (Cap. 59), the Proceeds of Crime and Anti-Money Laundering Act (Cap. 59A) and the CounterTrafficking in Persons Act (Cap. 61), where the High Court, in exercise of its original jurisdiction, has granted bail or bond to an accused person, the Director of Public Prosecution, may, as of right, appeal against that decision to the court of appeal and the order may be stayed for a period not exceeding fourteen days pending the filing of an appeal. [Act No. 19 of 2014, s. 21.]",a23e387b216ce7f413d14afb116e63c3eaa893efbbed05c3bf96874a4fe109e0
What is the purpose and scope of the Data Protection Act?,Data Protection Act,Data Protection Act,3 – Object and purpose of this Act,0.742283672,The object and purpose of this Act is— (a) to regulate the processing of personal data; (b) to ensure that the processing of personal data of a data subject is guided by the principles set out in section 25; (c) to protect the privacy of individuals; (d) to establish the legal and institutional mechanism to protect personal data; and (e) to provide data subjects with rights and remedies to protect their personal data from processing that is not in accordance with this Act.,fd27707c3f09b12951478ea1a615a04879a796d7a23ee63f0f223eae3b67d857
Which authority is responsible for administering and enforcing the Data Protection Act?,Data Protection Act,Data Protection Act,5 – Establishment of the Office,0.704773128,"(1) There is established the office of the Data Protection Commissioner which shall be a body corporate with perpetual succession and a common seal and shall in its corporate name, be capable of— (a) suing and being sued; (b) taking, purchasing or otherwise acquiring, holding, charging or disposing of movable and immovable property; (c) entering into contracts; and (d) doing such other legal acts necessary for the proper performance of the functions of the Office. (2) The Office is designated as a State Office in accordance with Article 260(q) of the Constitution. (3) The Office shall comprise the Data Commissioner as its head and accounting officer, and other staff appointed by the Data Commissioner. (4) The Office shall ensure reasonable access to its services in all parts of the Republic. (5) The Data Commissioner shall in consultation with the Cabinet Secretary, establish such direct...",b40cf1c11879b09ca608cc12b6e907318b490502ed60d954188ab33e560e11eb
What definitions in the Data Protection Act are most critical for compliance?,Data Protection Act,Data Protection Act,31 – Data protection impact assessment,0.69742319,"and to demonstrate compliance with this Act, taking into account the rights, and legitimate interests of data subjects and other persons concerned. (3) The data controller or data processor shall consult the Data Commissioner prior to the processing if a data protection impact assessment prepared under this section indicates that the processing of the data would result in a high risk to the rights and freedoms of a data subject. (4) For the purposes of this section, a ""data protection impact assessment"" means an assessment of the impact of the envisaged processing operations on the protection of personal data. (5) The data impact assessment reports shall be submitted sixty days prior to the processing of data. (6) The Data Commissioner shall set out guidelines for carrying out an impact assessment under this section.",29dbf52d5172552e03151d0a4edf56019249dbe78daa68636c3fa1705fc06a8f
"What licences, permits, or approvals are required under the Data Protection Act?",Data Protection Act,Data Protection Act,24 – Designation of the Data Protection Officer,0.684535801,"result in a conflict of interest. (3) A group of entities may appoint a single data protection officer provided that such officer is accessible by each entity. (4) Where a data controller or a data processor is a public body, a single data protection officer may be designated for several such public bodies, taking into account their organisational structures. (5) A person may be designated or appointed as a data protection officer, if that person has relevant academic or professional qualifications which may include knowledge and technical skills in matters relating to data protection. (6) A data controller or data processor shall publish the contact details of the data protection officer on the website and communicate them to the Data Commissioner who shall ensure that the same information is available on the official website. (7) A data protection officer shall— (a) advise the data con...",68abc73bc90dd67c02519997ae6933d823997aed2cd201946498bd4de8f8ddb4
What is the procedure for applying for approvals under the Data Protection Act?,Data Protection Act,Data Protection Act,31 – Data protection impact assessment,0.696520627,"and to demonstrate compliance with this Act, taking into account the rights, and legitimate interests of data subjects and other persons concerned. (3) The data controller or data processor shall consult the Data Commissioner prior to the processing if a data protection impact assessment prepared under this section indicates that the processing of the data would result in a high risk to the rights and freedoms of a data subject. (4) For the purposes of this section, a ""data protection impact assessment"" means an assessment of the impact of the envisaged processing operations on the protection of personal data. (5) The data impact assessment reports shall be submitted sixty days prior to the processing of data. (6) The Data Commissioner shall set out guidelines for carrying out an impact assessment under this section.",29dbf52d5172552e03151d0a4edf56019249dbe78daa68636c3fa1705fc06a8f
What duties or obligations does the Data Protection Act impose on regulated persons or entities?,Data Protection Act,Data Protection Act,3 – Object and purpose of this Act,0.719401151,The object and purpose of this Act is— (a) to regulate the processing of personal data; (b) to ensure that the processing of personal data of a data subject is guided by the principles set out in section 25; (c) to protect the privacy of individuals; (d) to establish the legal and institutional mechanism to protect personal data; and (e) to provide data subjects with rights and remedies to protect their personal data from processing that is not in accordance with this Act.,fd27707c3f09b12951478ea1a615a04879a796d7a23ee63f0f223eae3b67d857
What records must be kept to comply with the Data Protection Act?,Data Protection Act,Data Protection Act,"53 – Research, history and statistics",0.708326757,"(1) The further processing of personal data shall be compatible with the purpose of collection if the data is used for historical, statistical or research purposes and the data controller or data processor shall ensure that the further processing is carried out solely for such purposes and will not be published in an identifiable form. (2) The data controller or data processor shall take measures to establish appropriate safeguards against the records being used for any other purposes. (3) Personal data which is processed only for research purposes is exempt from the provisions of this Act if— (a) data is processed in compliance with the relevant conditions; and (b) results of the research or resulting statistics are not made available in a form which identifies the data subject or any of them. (4) The Data Commissioner shall prepare a code of practice containing practical guidance in re...",5345b53ccadb4906d8ee4401ae867aaacb8ddab454570e79de2421eebf003f4a
"What fees, charges, or levies may be imposed under the Data Protection Act?",Data Protection Act,Data Protection Act,31 – Data protection impact assessment,0.675454378,"and to demonstrate compliance with this Act, taking into account the rights, and legitimate interests of data subjects and other persons concerned. (3) The data controller or data processor shall consult the Data Commissioner prior to the processing if a data protection impact assessment prepared under this section indicates that the processing of the data would result in a high risk to the rights and freedoms of a data subject. (4) For the purposes of this section, a ""data protection impact assessment"" means an assessment of the impact of the envisaged processing operations on the protection of personal data. (5) The data impact assessment reports shall be submitted sixty days prior to the processing of data. (6) The Data Commissioner shall set out guidelines for carrying out an impact assessment under this section.",29dbf52d5172552e03151d0a4edf56019249dbe78daa68636c3fa1705fc06a8f
What are the offences and penalties provided for under the Data Protection Act?,Data Protection Act,Data Protection Act,61 – Obstruction of Data Commissioner,0.703933954,"A person who, in relation to the exercise of a power conferred by section 9— (a) obstructs or impedes the Data Commissioner in the exercise of their powers; (b) fails to provide assistance or information requested by the Data Commissioner; (c) refuses to allow the Data Commissioner to enter any premises or to take any person with them in the exercise of their functions; (d) gives to the Data Commissioner any information which is false or misleading in any material aspect, commits an offence and is liable on conviction to a fine not exceeding five million shillings or to imprisonment for a term not exceeding two years, or to both.",41790a80f43a777a633605ed1c2d4fce05e9c5b0cf96de9b37efab73b839914a
How are inspections and enforcement actions carried out under the Data Protection Act?,Data Protection Act,Data Protection Act,8 – Functions of the Office,0.714089304,"(1) The Office shall— (a) oversee the implementation of and be responsible for the enforcement of this Act; (b) establish and maintain a register of data controllers and data processors; (c) exercise oversight on data processing operations, either of own motion or at the request of a data subject, and verify whether the processing of data is done in accordance with this Act; (d) promote self-regulation among data controllers and data processors; (e) conduct an assessment, on its own initiative of a public or private body, or at the request of a private or public body for the purpose of ascertaining whether information is processed according to the provisions of this Act or any other relevant law; (f) receive and investigate any complaint by any person on infringements of the rights under this Act; (g) take such measures as may be necessary to bring the provisions of this Act to the knowl...",9f399b26f408f08d822fc8bc95afa22febadac0661c0246f6096c6246e1ab18f
"What powers of entry, search, and seizure exist under the Data Protection Act?",Data Protection Act,Data Protection Act,60 – Power of entry and search,0.685246617,"The Data Commissioner, upon obtaining a warrant from a Court, may enter and search any premises for the purpose of discharging any function or exercising any power under this Act.",b87a87de4574560c0246173b967d30bb8841ae5f0666c14a2064254b09c981c9
